ID,X,Y,N,A,Ap,Ar,He,Ho,FIS,NS_ex0pct,NS_ex2pct,NS_ex5pct,NS_ex10pct
Indiv_73,3930.434783,24800,25,4,0.85106383,3.935043592,0.5617,0.58,,20.1,18.3,14.3,20.1
Indiv_74,3930.434783,23756.52174,41,4.15,0.882978723,3.994493565,0.5863,0.5854,,27.8,24.4,23.6,24.7
Indiv_75,3930.434783,22713.04348,38,4.1,0.872340426,3.97082181,0.5839,0.58805,,23.4,23,20.7,21.7
Indiv_76,3930.434783,21669.56522,41,4.1,0.872340426,3.962934725,0.5826,0.57435,,23.7,21.1,20,21.9
Indiv_77,3930.434783,20626.08696,28,4.05,0.861702128,3.947027922,0.57775,0.566,,17.3,16.3,13.5,17.6
Indiv_78,3930.434783,19582.6087,11,,,,,,,,,,
Indiv_79,3930.434783,18539.13043,9,,,,,,,,,,
Indiv_80,3930.434783,17495.65217,12,,,,,,,,,,
Indiv_81,3930.434783,16452.17391,12,,,,,,,,,,
Indiv_82,3930.434783,15408.69565,18,,,,,,,,,,
Indiv_83,3930.434783,14365.21739,16,,,,,,,,,,
Indiv_84,3930.434783,13321.73913,36,4.45,0.946808511,4.239098056,0.6087,0.5958,0.0276,109.8,61.4,56.6,105
Indiv_85,3930.434783,12278.26087,49,4.6,0.978723404,4.272507631,0.61395,0.601,0.0277,65.2,43,37.4,57.2
Indiv_86,3930.434783,11234.78261,50,4.55,0.968085106,4.298735884,0.62005,0.597,0.0432,62.6,51.1,47.4,55.6
Indiv_87,3930.434783,10191.30435,64,4.55,0.968085106,4.29375162,0.6177,0.60935,0.01995,61,48,49.4,55.5
Indiv_88,3930.434783,9147.826087,63,4.55,0.968085106,4.298649009,0.61885,0.60465,0.02875,60.4,46.6,46.6,53.7
Indiv_89,3930.434783,8104.347826,42,4.5,0.957446809,4.289806944,0.61445,0.5822,0.06095,37.7,31.6,37.1,35.2
Indiv_90,3930.434783,7060.869565,31,4.4,0.936170213,4.26294418,0.62045,0.60645,0.0266,26.2,21.7,22.1,24.4
Indiv_91,3930.434783,6017.391304,21,4,0.85106383,3.985307782,0.59945,0.59285,,28.8,23.5,27.1,28.8
Indiv_92,3930.434783,4973.913043,19,,,,,,,,,,
Indiv_93,3930.434783,3930.434783,16,,,,,,,,,,
Indiv_94,3930.434783,2886.956522,15,,,,,,,,,,
Indiv_95,3930.434783,1843.478261,12,,,,,,,,,,
Indiv_96,3930.434783,800,11,,,,,,,,,,
Indiv_97,4973.913043,24800,28,4.2,0.893617021,4.084294724,0.5758,0.566,,28.1,22.5,20.2,23.8
Indiv_98,4973.913043,23756.52174,48,4.3,0.914893617,4.085801882,0.59585,0.5834,0.01595,30.5,26.5,24.1,26.7
Indiv_99,4973.913043,22713.04348,61,4.45,0.946808511,4.152545636,0.599,0.5902,0.01005,38.5,33.5,26.6,35
Indiv_100,4973.913043,21669.56522,57,4.45,0.946808511,4.168228045,0.6009,0.58685,0.01895,40.6,34.9,28,37
Indiv_101,4973.913043,20626.08696,21,4.05,0.861702128,4.035481998,0.5903,0.5738,,20.9,19.8,13.4,20.9
Indiv_102,4973.913043,19582.6087,9,,,,,,,,,,
Indiv_103,4973.913043,18539.13043,9,,,,,,,,,,
Indiv_104,4973.913043,17495.65217,12,,,,,,,,,,
Indiv_105,4973.913043,16452.17391,22,4.25,0.904255319,4.219462472,0.5911,0.57035,0.02465,32,28.8,27.1,32
Indiv_106,4973.913043,15408.69565,42,4.45,0.946808511,4.275741921,0.6136,0.5832,0.044,66.2,54.7,52.3,66.2
Indiv_107,4973.913043,14365.21739,59,4.5,0.957446809,4.264116702,0.62365,0.60085,0.04255,122.7,95.9,99.4,106
