"NH_Index","NH_ID","X","Y","N","A","Ap","Ar","Hs","Ho","FIS","HWE_p","HetEx_p","HomEx_p","NS_ex0.10","NS_ex0.05","NS_ex0.02","NS_ex0.00"
204,"Indiv204",9147.826087,13321.73913,120,4.6,0.9787,4.2597,0.6258,0.6279,-0.0042,0.4573,0.1826,0.2804,122.6,133.2,145.9,150.2
205,"Indiv205",9147.826087,12278.26087,108,4.65,0.9894,4.2579,0.6261,0.6287,-0.0018,0.4157,0.2125,0.2496,110.4,113,116.1,124.1
206,"Indiv206",9147.826087,11234.78261,115,4.65,0.9894,4.2736,0.625,0.6226,0.0066,0.3776,0.1666,0.3334,133.8,135.4,130.9,131.7
207,"Indiv207",9147.826087,10191.30435,127,4.7,1,4.3016,0.6278,0.6276,0.0016,0.3371,0.1961,0.2981,152.1,137.5,127,121.7
208,"Indiv208",9147.826087,9147.826087,126,4.65,0.9894,4.2635,0.625,0.623,0.0061,0.3429,0.1602,0.2731,118.5,120.1,108.7,118.2
209,"Indiv209",9147.826087,8104.347826,105,4.65,0.9894,4.2323,0.6223,0.6214,0.0081,0.3069,0.1855,0.2899,120.9,113,96.1,104.7
210,"Indiv210",9147.826087,7060.869565,94,4.6,0.9787,4.2305,0.6232,0.6266,-0.0017,0.4306,0.2666,0.3074,123.8,115.8,99.2,111.3
211,"Indiv211",9147.826087,6017.391304,72,4.55,0.9681,4.2171,0.6244,0.6285,-0.0095,0.3631,0.2493,0.3127,110.6,88.8,85.7,99.1
212,"Indiv212",9147.826087,4973.913043,54,4.5,0.9574,4.2021,0.6251,0.6241,-0.002,0.4199,0.2584,0.3216,55.4,52.6,56.7,62
213,"Indiv213",9147.826087,3930.434783,50,4.4,0.9362,4.1518,0.6193,0.599,0.0264,0.3502,0.2045,0.3194,38,40.3,39.5,42.7
214,"Indiv214",9147.826087,2886.956522,45,4.35,0.9255,4.1309,0.6106,0.5844,0.04,0.4036,0.1846,0.3562,30.1,32.1,32.3,34.3
215,"Indiv215",9147.826087,1843.478261,37,4.3,0.9149,4.1437,0.6118,0.5932,0.0294,0.4763,0.2102,0.3314,30.9,34.7,37.6,38.1
216,"Indiv216",9147.826087,800,21,4.05,0.8617,4.0401,0.6114,0.6119,-0.0033,0.5911,0.1856,0.4424,28.8,30.6,36.4,36.4
217,"Indiv217",10191.30435,24800,95,4.65,0.9894,4.3175,0.6163,0.6195,-0.0123,0.5021,0.2333,0.3363,117.6,91,89,92
218,"Indiv218",10191.30435,23756.52174,99,4.65,0.9894,4.3135,0.6192,0.6202,-0.0074,0.4733,0.195,0.3156,116.5,93,90.2,95.9
219,"Indiv219",10191.30435,22713.04348,117,4.65,0.9894,4.3097,0.6185,0.6235,-0.0116,0.4693,0.2002,0.3039,93.2,91.7,88.9,92.1
220,"Indiv220",10191.30435,21669.56522,113,4.65,0.9894,4.314,0.6188,0.6226,-0.011,0.456,0.2044,0.3156,95,91,88.9,95
221,"Indiv221",10191.30435,20626.08696,116,4.65,0.9894,4.3229,0.6222,0.625,-0.0085,0.426,0.2317,0.2126,92.9,85.6,82.6,93.9
222,"Indiv222",10191.30435,19582.6087,141,4.6,0.9787,4.3111,0.6212,0.6245,-0.0108,0.3934,0.1705,0.217,99.4,91.1,91.3,98.2
223,"Indiv223",10191.30435,18539.13043,145,4.6,0.9787,4.2932,0.6198,0.6279,-0.0178,0.3771,0.2085,0.1747,110.3,106.8,107,117.5
224,"Indiv224",10191.30435,17495.65217,166,4.6,0.9787,4.2941,0.6194,0.6211,-0.007,0.3665,0.1051,0.2056,113.6,114.4,120.4,128.6
225,"Indiv225",10191.30435,16452.17391,170,4.6,0.9787,4.2835,0.6182,0.6168,-0.0017,0.3749,0.1443,0.2199,122.5,121.8,127.4,135.4
226,"Indiv226",10191.30435,15408.69565,147,4.6,0.9787,4.2712,0.622,0.6245,-0.0081,0.3979,0.1485,0.2092,109.4,113.3,121.1,130.1
227,"Indiv227",10191.30435,14365.21739,143,4.6,0.9787,4.2551,0.6214,0.6238,-0.0071,0.4016,0.1076,0.2174,137,141,153.8,160.4
228,"Indiv228",10191.30435,13321.73913,146,4.65,0.9894,4.2714,0.6228,0.6267,-0.0106,0.3942,0.1632,0.1701,135.9,147.3,142.2,157.1
229,"Indiv229",10191.30435,12278.26087,127,4.65,0.9894,4.2589,0.6235,0.6217,0.0015,0.4288,0.1925,0.2193,137.9,145.4,157.5,164.8
230,"Indiv230",10191.30435,11234.78261,127,4.65,0.9894,4.2585,0.6257,0.6236,0.004,0.3612,0.1311,0.2509,108.2,119.2,121.9,120.8
231,"Indiv231",10191.30435,10191.30435,120,4.65,0.9894,4.2533,0.6239,0.6254,0.0015,0.3309,0.1724,0.2516,131.6,139.9,143,145.6
232,"Indiv232",10191.30435,9147.826087,137,4.65,0.9894,4.2523,0.6258,0.6259,0.001,0.3242,0.1333,0.2607,132.1,138.5,129.9,130.6
233,"Indiv233",10191.30435,8104.347826,128,4.65,0.9894,4.2458,0.623,0.6219,0.0034,0.336,0.1671,0.3142,116.8,120.9,125.2,116.6
234,"Indiv234",10191.30435,7060.869565,109,4.65,0.9894,4.2204,0.6246,0.6261,-2e-04,0.3729,0.2533,0.2467,143.3,134.4,109.2,123
235,"Indiv235",10191.30435,6017.391304,86,4.55,0.9681,4.228,0.6233,0.6314,-0.0125,0.437,0.301,0.2618,117.3,116.8,103.3,112.9
236,"Indiv236",10191.30435,4973.913043,61,4.45,0.9468,4.2166,0.6271,0.641,-0.0262,0.409,0.3092,0.2701,85.7,88.5,78,85.9
237,"Indiv237",10191.30435,3930.434783,42,4.35,0.9255,4.1538,0.6197,0.5976,0.0306,0.3991,0.2273,0.3755,32.8,34.5,35.9,38.5
238,"Indiv238",10191.30435,2886.956522,38,4.3,0.9149,4.151,0.6196,0.6066,0.0192,0.412,0.2557,0.3772,29.1,33,34.6,35.9
239,"Indiv239",10191.30435,1843.478261,34,4.2,0.8936,4.1036,0.6175,0.6015,0.0273,0.4607,0.2444,0.3506,27.3,32.5,33.7,35.1
240,"Indiv240",10191.30435,800,19,,,,,,,,,,,,,
241,"Indiv241",11234.78261,24800,94,4.65,0.9894,4.3083,0.6158,0.6208,-0.0156,0.496,0.2615,0.2589,141.7,101,91.4,95.3
242,"Indiv242",11234.78261,23756.52174,107,4.65,0.9894,4.3155,0.6168,0.6182,-0.0083,0.4814,0.2627,0.2817,116.3,99.1,91.1,95.6
243,"Indiv243",11234.78261,22713.04348,109,4.65,0.9894,4.306,0.6176,0.6206,-0.0108,0.5181,0.1674,0.3612,122.1,103.8,96.5,100.8
244,"Indiv244",11234.78261,21669.56522,115,4.65,0.9894,4.3099,0.619,0.6248,-0.0142,0.4571,0.2424,0.2769,110.4,100.8,95.9,101
245,"Indiv245",11234.78261,20626.08696,125,4.65,0.9894,4.3233,0.6212,0.6232,-0.0085,0.4209,0.2231,0.2784,114.3,101.1,96.4,102.2
246,"Indiv246",11234.78261,19582.6087,130,4.65,0.9894,4.319,0.6213,0.6235,-0.0092,0.4213,0.1716,0.2308,120.8,113.2,111.8,122.5
247,"Indiv247",11234.78261,18539.13043,157,4.65,0.9894,4.2925,0.6204,0.6264,-0.0142,0.3833,0.1666,0.1588,133,129.3,127,141.1
248,"Indiv248",11234.78261,17495.65217,175,4.65,0.9894,4.2958,0.6189,0.62,-0.0061,0.3746,0.1102,0.1888,131.7,129.2,135.4,142.1
249,"Indiv249",11234.78261,16452.17391,176,4.65,0.9894,4.2905,0.6196,0.6207,-0.0068,0.383,0.1062,0.139,134.8,132.1,135.9,147.9
250,"Indiv250",11234.78261,15408.69565,158,4.6,0.9787,4.2779,0.6205,0.6228,-0.0093,0.3636,0.1224,0.154,138.8,136.6,139.7,147.5
251,"Indiv251",11234.78261,14365.21739,153,4.6,0.9787,4.2542,0.6196,0.6248,-0.0129,0.383,0.1448,0.1385,135.4,147,149.6,160.4
252,"Indiv252",11234.78261,13321.73913,149,4.65,0.9894,4.2759,0.622,0.6295,-0.0168,0.3691,0.1672,0.1258,157.1,169.6,155.1,171.9
253,"Indiv253",11234.78261,12278.26087,145,4.65,0.9894,4.2685,0.622,0.6269,-0.0103,0.3591,0.1452,0.1732,154.4,161.1,172.1,174.7
254,"Indiv254",11234.78261,11234.78261,117,4.65,0.9894,4.2537,0.625,0.6316,-0.0112,0.3472,0.1772,0.161,127,137.1,136.2,140.1
255,"Indiv255",11234.78261,10191.30435,142,4.65,0.9894,4.2327,0.6207,0.6232,-0.003,0.3096,0.1579,0.219,139.6,135.4,137.6,139.5
256,"Indiv256",11234.78261,9147.826087,133,4.65,0.9894,4.2347,0.6229,0.6256,-0.0027,0.3153,0.1136,0.2692,142.4,147.3,145.1,142
257,"Indiv257",11234.78261,8104.347826,120,4.65,0.9894,4.2388,0.6246,0.6262,-8e-04,0.3231,0.1797,0.2446,138.2,136.3,136.2,137.9
258,"Indiv258",11234.78261,7060.869565,107,4.65,0.9894,4.2257,0.6245,0.629,-0.0037,0.3706,0.2564,0.2489,135.7,137.8,128.3,130
259,"Indiv259",11234.78261,6017.391304,100,4.65,0.9894,4.2257,0.623,0.629,-0.0046,0.3631,0.2342,0.2518,110.3,116.1,113.7,119.6
260,"Indiv260",11234.78261,4973.913043,51,4.45,0.9468,4.2175,0.6283,0.6363,-0.0147,0.3943,0.2926,0.2578,62.1,82.5,90.8,93.2
261,"Indiv261",11234.78261,3930.434783,33,4.3,0.9149,4.169,0.6225,0.6061,0.0143,0.4032,0.1948,0.3698,74.4,79.9,66.6,76.1
262,"Indiv262",11234.78261,2886.956522,30,4.15,0.883,4.0705,0.6167,0.5983,0.0191,0.4126,0.2126,0.4327,32.1,30.9,33.4,36.2
263,"Indiv263",11234.78261,1843.478261,21,4,0.8511,3.9925,0.6134,0.581,0.0445,0.4981,0.2051,0.4634,13.9,14.5,18,18
264,"Indiv264",11234.78261,800,12,,,,,,,,,,,,,
265,"Indiv265",12278.26087,24800,98,4.65,0.9894,4.3015,0.6138,0.6204,-0.0184,0.501,0.2017,0.2681,146.8,118.2,110.3,108.3
266,"Indiv266",12278.26087,23756.52174,104,4.65,0.9894,4.301,0.6136,0.6178,-0.0148,0.4858,0.238,0.2416,130.9,106.4,92.3,95.1
267,"Indiv267",12278.26087,22713.04348,100,4.65,0.9894,4.3071,0.6174,0.6195,-0.0089,0.5226,0.2371,0.3259,123.6,100.9,90.9,93.3
268,"Indiv268",12278.26087,21669.56522,109,4.65,0.9894,4.3034,0.6178,0.6252,-0.0159,0.4708,0.179,0.3105,152.4,124.1,122.1,124.2
269,"Indiv269",12278.26087,20626.08696,129,4.65,0.9894,4.3142,0.6229,0.6287,-0.0143,0.4176,0.2586,0.2032,130.9,112.3,111.4,120.2
270,"Indiv270",12278.26087,19582.6087,152,4.65,0.9894,4.31,0.6215,0.626,-0.0126,0.4255,0.2225,0.1963,130.6,126.5,119.7,126
271,"Indiv271",12278.26087,18539.13043,158,4.65,0.9894,4.2999,0.6218,0.6282,-0.0156,0.4247,0.2014,0.1949,131.8,127.4,123.9,130.7
272,"Indiv272",12278.26087,17495.65217,164,4.65,0.9894,4.2942,0.6214,0.625,-0.0098,0.3606,0.152,0.155,148.6,147.7,150.3,161.9
273,"Indiv273",12278.26087,16452.17391,176,4.65,0.9894,4.2869,0.6202,0.6205,-0.006,0.3852,0.0877,0.1423,148.3,151.7,149.1,166.7
274,"Indiv274",12278.26087,15408.69565,174,4.65,0.9894,4.2788,0.619,0.6204,-0.0085,0.3484,0.1152,0.1528,163.1,167.3,166.8,178.7
275,"Indiv275",12278.26087,14365.21739,172,4.7,1,4.2788,0.6203,0.6238,-0.0112,0.3115,0.0945,0.1137,155.1,161.9,170.1,166.6
276,"Indiv276",12278.26087,13321.73913,174,4.7,1,4.2892,0.6214,0.6238,-0.0072,0.3349,0.1509,0.1081,160.5,182.2,188.1,180.1
277,"Indiv277",12278.26087,12278.26087,160,4.7,1,4.2899,0.6222,0.625,-0.0074,0.3188,0.1534,0.1124,166.3,177.1,182.3,176.8
278,"Indiv278",12278.26087,11234.78261,167,4.7,1,4.2702,0.6214,0.6219,-0.0017,0.3002,0.1315,0.1783,183.4,171.8,180.3,183.9
279,"Indiv279",12278.26087,10191.30435,161,4.7,1,4.25,0.6213,0.6221,-0.0031,0.2767,0.1347,0.1915,158.9,157.8,163.5,167.5
280,"Indiv280",12278.26087,9147.826087,143,4.65,0.9894,4.228,0.621,0.6259,-0.0071,0.2813,0.0985,0.2052,143.5,132.6,134.9,143.7
281,"Indiv281",12278.26087,8104.347826,133,4.65,0.9894,4.2182,0.6234,0.6274,-0.0052,0.2944,0.1518,0.1961,133,135.4,137.2,142.5
282,"Indiv282",12278.26087,7060.869565,120,4.65,0.9894,4.2192,0.6226,0.6258,-0.0032,0.3216,0.1919,0.204,128.2,128.7,137.8,136.5
283,"Indiv283",12278.26087,6017.391304,99,4.6,0.9787,4.1939,0.6234,0.6303,-0.0108,0.3816,0.2526,0.2338,112.3,118.4,119.3,130.8
284,"Indiv284",12278.26087,4973.913043,50,4.45,0.9468,4.2305,0.6225,0.634,-0.019,0.3622,0.2236,0.2766,58.9,82.2,79.8,82.7
285,"Indiv285",12278.26087,3930.434783,33,4.3,0.9149,4.1811,0.6263,0.6182,0.0079,0.431,0.2172,0.3724,100.8,93.1,91.7,97.7
286,"Indiv286",12278.26087,2886.956522,23,4.15,0.883,4.1153,0.6228,0.5978,0.0375,0.459,0.2285,0.4885,21.9,22.2,25.9,25.9
287,"Indiv287",12278.26087,1843.478261,16,,,,,,,,,,,,,
288,"Indiv288",12278.26087,800,8,,,,,,,,,,,,,
289,"Indiv289",13321.73913,24800,108,4.65,0.9894,4.2753,0.6127,0.6134,-0.0102,0.4978,0.1647,0.2913,120.9,114.6,114.2,105.9
290,"Indiv290",13321.73913,23756.52174,103,4.65,0.9894,4.2907,0.6132,0.618,-0.0146,0.4927,0.2195,0.2629,152.2,118,106.8,106.6
291,"Indiv291",13321.73913,22713.04348,97,4.65,0.9894,4.2709,0.6113,0.6113,-0.0063,0.5031,0.1836,0.2846,122,130.2,109.8,105.8
292,"Indiv292",13321.73913,21669.56522,128,4.65,0.9894,4.3034,0.6169,0.6203,-0.0103,0.4855,0.216,0.2388,128.4,120.6,114.6,121.2
293,"Indiv293",13321.73913,20626.08696,142,4.65,0.9894,4.291,0.6187,0.6197,-0.0074,0.4127,0.2138,0.1884,128.2,113.7,112.1,119.5
294,"Indiv294",13321.73913,19582.6087,159,4.65,0.9894,4.2986,0.6202,0.6217,-0.0083,0.4339,0.179,0.2013,142.1,127.2,121.8,128.9
295,"Indiv295",13321.73913,18539.13043,159,4.65,0.9894,4.2918,0.6203,0.6255,-0.0145,0.3917,0.1907,0.1976,144.9,128,122.4,129.2
296,"Indiv296",13321.73913,17495.65217,143,4.65,0.9894,4.3026,0.6231,0.6318,-0.0204,0.4181,0.243,0.1705,139.2,135.4,131.4,136.7
297,"Indiv297",13321.73913,16452.17391,139,4.6,0.9787,4.2622,0.6208,0.6245,-0.011,0.3616,0.129,0.1511,135.5,136.7,146.8,155.6
298,"Indiv298",13321.73913,15408.69565,168,4.6,0.9787,4.2686,0.619,0.617,-0.0029,0.3112,0.0892,0.1524,164.8,167.3,167.4,181.7
299,"Indiv299",13321.73913,14365.21739,162,4.7,1,4.2618,0.6207,0.625,-0.0135,0.3601,0.1276,0.1363,162.8,193.7,202.9,208.2
300,"Indiv300",13321.73913,13321.73913,170,4.7,1,4.2813,0.6213,0.6212,-0.0026,0.3772,0.1661,0.1299,178.1,190.8,206,198.8
301,"Indiv301",13321.73913,12278.26087,182,4.7,1,4.2742,0.6204,0.6201,-2e-04,0.3282,0.1223,0.1414,177.8,178,199.1,190.2
302,"Indiv302",13321.73913,11234.78261,172,4.7,1,4.2784,0.6212,0.623,-0.0041,0.3151,0.1474,0.1652,180,168.8,187.8,182.4
303,"Indiv303",13321.73913,10191.30435,155,4.7,1,4.2612,0.6224,0.6232,-0.0019,0.2693,0.1255,0.1741,164.6,158.9,163.8,165.9
304,"Indiv304",13321.73913,9147.826087,141,4.65,0.9894,4.2375,0.6216,0.6284,-0.0102,0.2836,0.1139,0.161,135.7,130.2,132.8,139
305,"Indiv305",13321.73913,8104.347826,128,4.6,0.9787,4.2007,0.6249,0.6316,-0.0127,0.3089,0.1643,0.2102,127.6,129.1,136.3,139.6
306,"Indiv306",13321.73913,7060.869565,110,4.6,0.9787,4.1962,0.6226,0.6314,-0.0154,0.347,0.202,0.2174,133.8,136,142,142.8
307,"Indiv307",13321.73913,6017.391304,91,4.6,0.9787,4.1967,0.6226,0.6313,-0.0125,0.4216,0.2484,0.2557,95.2,105.2,105.3,119.3
308,"Indiv308",13321.73913,4973.913043,62,4.55,0.9681,4.2058,0.6221,0.6298,-0.0128,0.4293,0.2465,0.2952,77.8,90.4,87.1,102.1
309,"Indiv309",13321.73913,3930.434783,28,4.3,0.9149,4.1758,0.6241,0.5982,0.0394,0.4659,0.1509,0.4469,47.9,59.4,68.8,85.6
310,"Indiv310",13321.73913,2886.956522,18,,,,,,,,,,,,,
311,"Indiv311",13321.73913,1843.478261,13,,,,,,,,,,,,,
312,"Indiv312",13321.73913,800,8,,,,,,,,,,,,,
313,"Indiv313",14365.21739,24800,102,4.6,0.9787,4.2623,0.6109,0.6147,-0.0141,0.5152,0.1941,0.2761,107.8,110.6,105.2,97.1
314,"Indiv314",14365.21739,23756.52174,112,4.65,0.9894,4.2832,0.6132,0.613,-0.007,0.512,0.2587,0.2494,118.3,124,110.7,113.6
315,"Indiv315",14365.21739,22713.04348,121,4.65,0.9894,4.2712,0.6142,0.6112,-6e-04,0.533,0.2399,0.2328,142.3,136.1,120.7,126.6
316,"Indiv316",14365.21739,21669.56522,129,4.65,0.9894,4.2807,0.6162,0.6217,-0.0145,0.4594,0.2594,0.1986,113.1,108.7,111.6,116.7
317,"Indiv317",14365.21739,20626.08696,146,4.65,0.9894,4.279,0.6186,0.6209,-0.0106,0.4562,0.263,0.1368,136.8,124.4,118.5,128.6
318,"Indiv318",14365.21739,19582.6087,152,4.65,0.9894,4.2779,0.6181,0.6207,-0.0112,0.4363,0.2329,0.203,123.9,117,115.8,126.9
319,"Indiv319",14365.21739,18539.13043,151,4.65,0.9894,4.282,0.6193,0.6182,-0.0052,0.4193,0.2101,0.1967,141.8,131.2,125.5,133.7
320,"Indiv320",14365.21739,17495.65217,133,4.65,0.9894,4.2778,0.6243,0.6286,-0.0133,0.4244,0.2439,0.2413,159.7,153.1,132.6,145.3
321,"Indiv321",14365.21739,16452.17391,151,4.65,0.9894,4.284,0.6209,0.6219,-0.0065,0.4374,0.1657,0.1983,175.6,197.5,182.1,189.8
322,"Indiv322",14365.21739,15408.69565,146,4.6,0.9787,4.2545,0.6198,0.6216,-0.0087,0.3957,0.1861,0.1942,155.8,174.4,187.9,198.8
323,"Indiv323",14365.21739,14365.21739,177,4.7,1,4.2724,0.6191,0.6218,-0.0104,0.3794,0.1688,0.1765,187,196.9,208.3,213.4
324,"Indiv324",14365.21739,13321.73913,178,4.7,1,4.2795,0.6208,0.6208,-0.0026,0.4027,0.1859,0.1528,190.3,186.8,209.6,212
325,"Indiv325",14365.21739,12278.26087,177,4.7,1,4.2737,0.6205,0.6192,-2e-04,0.3473,0.1567,0.1401,185.4,184.9,203.2,195.3
326,"Indiv326",14365.21739,11234.78261,142,4.65,0.9894,4.2609,0.6236,0.6271,-0.0082,0.3101,0.1731,0.1046,141.7,155.9,167.8,159.8
327,"Indiv327",14365.21739,10191.30435,114,4.6,0.9787,4.2063,0.6219,0.6333,-0.0235,0.3426,0.1165,0.2265,135.7,138.9,141.2,160.8
328,"Indiv328",14365.21739,9147.826087,99,4.6,0.9787,4.2096,0.6251,0.6369,-0.0231,0.3579,0.1967,0.2461,135.3,140.7,152.3,162
329,"Indiv329",14365.21739,8104.347826,88,4.65,0.9894,4.2176,0.6244,0.6341,-0.0116,0.4174,0.1957,0.2698,114.4,108.6,119.7,136.3
330,"Indiv330",14365.21739,7060.869565,75,4.6,0.9787,4.2373,0.6231,0.632,-0.0094,0.4304,0.2532,0.2466,114.7,113.8,119.1,124.2
331,"Indiv331",14365.21739,6017.391304,73,4.55,0.9681,4.189,0.6186,0.6226,-0.0056,0.4364,0.2573,0.2497,92.8,95,95.3,101.8
332,"Indiv332",14365.21739,4973.913043,43,4.45,0.9468,4.1742,0.6118,0.614,-0.0052,0.5047,0.2553,0.401,73.1,74.4,78.6,88.6
333,"Indiv333",14365.21739,3930.434783,19,,,,,,,,,,,,,
334,"Indiv334",14365.21739,2886.956522,17,,,,,,,,,,,,,
335,"Indiv335",14365.21739,1843.478261,15,,,,,,,,,,,,,
336,"Indiv336",14365.21739,800,14,,,,,,,,,,,,,
337,"Indiv337",15408.69565,24800,109,4.6,0.9787,4.2566,0.6093,0.6055,-8e-04,0.5488,0.2329,0.2669,117.1,130.3,115.6,113.2
338,"Indiv338",15408.69565,23756.52174,120,4.65,0.9894,4.2568,0.6116,0.6104,-0.0055,0.5056,0.2598,0.2252,123.6,135,119.9,123.1
339,"Indiv339",15408.69565,22713.04348,131,4.65,0.9894,4.2605,0.6137,0.613,-0.0039,0.418,0.2449,0.2313,133.1,126.9,114.1,125.3
340,"Indiv340",15408.69565,21669.56522,126,4.65,0.9894,4.2646,0.614,0.6151,-0.0072,0.4987,0.2285,0.2556,132.6,127.9,120.6,126.9
341,"Indiv341",15408.69565,20626.08696,139,4.65,0.9894,4.2765,0.6173,0.6183,-0.0086,0.4664,0.2461,0.2395,121,117.2,109.9,118
342,"Indiv342",15408.69565,19582.6087,156,4.65,0.9894,4.2778,0.62,0.6247,-0.0142,0.4397,0.2045,0.2642,131.4,136.6,126.5,137.1
343,"Indiv343",15408.69565,18539.13043,152,4.65,0.9894,4.2849,0.6205,0.6276,-0.0176,0.403,0.1886,0.2587,142.9,141.7,131.1,142.1
344,"Indiv344",15408.69565,17495.65217,163,4.65,0.9894,4.2546,0.6193,0.6255,-0.0158,0.4485,0.261,0.1741,154.4,145,142.6,154.5
345,"Indiv345",15408.69565,16452.17391,169,4.7,1,4.2552,0.6205,0.6257,-0.0136,0.4487,0.2075,0.2326,170.9,182.2,185.5,205.4
346,"Indiv346",15408.69565,15408.69565,173,4.7,1,4.2634,0.6217,0.6246,-0.011,0.4292,0.2189,0.2153,182.8,198.8,198.5,218.7
347,"Indiv347",15408.69565,14365.21739,171,4.7,1,4.2711,0.621,0.6216,-0.0071,0.4273,0.1664,0.191,188.5,187.4,212.4,228.3
348,"Indiv348",15408.69565,13321.73913,172,4.7,1,4.2725,0.6196,0.6212,-0.009,0.3732,0.1721,0.1955,188.5,195.2,223.6,223.3
349,"Indiv349",15408.69565,12278.26087,158,4.7,1,4.2425,0.6185,0.6209,-0.0102,0.385,0.165,0.2236,151.3,174.5,186.2,207.7
350,"Indiv350",15408.69565,11234.78261,92,4.55,0.9681,4.2085,0.6208,0.6315,-0.0205,0.4521,0.1743,0.1951,119.4,122.2,137.7,169.6
351,"Indiv351",15408.69565,10191.30435,61,4.45,0.9468,4.1737,0.6143,0.6246,-0.0124,0.4416,0.2418,0.2809,90.5,118.7,144.6,148.9
352,"Indiv352",15408.69565,9147.826087,40,4.45,0.9468,4.2236,0.6084,0.6225,-0.0206,0.4946,0.2124,0.3101,134.6,150.8,239.3,251.7
353,"Indiv353",15408.69565,8104.347826,48,4.5,0.9574,4.2002,0.6158,0.6177,-0.0061,0.4664,0.1978,0.3182,123.7,137.4,152.4,161.3
354,"Indiv354",15408.69565,7060.869565,70,4.65,0.9894,4.2307,0.6134,0.6214,-0.0173,0.4865,0.2005,0.3407,117.9,133,153,153.6
355,"Indiv355",15408.69565,6017.391304,53,4.6,0.9787,4.2168,0.6138,0.6179,-0.0099,0.4878,0.1802,0.3355,88.6,99.5,114.9,116.9
356,"Indiv356",15408.69565,4973.913043,30,4.5,0.9574,4.2731,0.6095,0.595,0.0294,0.5702,0.1673,0.3888,63.8,62.4,71.6,84
357,"Indiv357",15408.69565,3930.434783,23,4.1,0.8723,4.0612,0.5946,0.5565,0.0664,0.514,0.2594,0.5456,14.9,12.7,17.6,17.6
358,"Indiv358",15408.69565,2886.956522,20,4.1,0.8723,4.1,0.5747,0.5325,0.0786,0.4439,0.1613,0.4129,12.8,12.6,13.7,13.7
359,"Indiv359",15408.69565,1843.478261,18,,,,,,,,,,,,,
360,"Indiv360",15408.69565,800,17,,,,,,,,,,,,,
361,"Indiv361",16452.17391,24800,103,4.6,0.9787,4.2327,0.6063,0.6073,-0.0102,0.5236,0.2006,0.2792,114.1,121.5,104.4,103.3
362,"Indiv362",16452.17391,23756.52174,119,4.65,0.9894,4.2473,0.6106,0.6092,-0.0058,0.4752,0.2281,0.2578,101.1,113.1,106.9,110.1
363,"Indiv363",16452.17391,22713.04348,127,4.65,0.9894,4.2531,0.6126,0.611,-0.0037,0.4562,0.2227,0.2824,122.9,119.8,118.5,118.7
364,"Indiv364",16452.17391,21669.56522,119,4.65,0.9894,4.2636,0.6149,0.616,-0.0069,0.4811,0.2314,0.2591,131.2,124,118.7,119.4
365,"Indiv365",16452.17391,20626.08696,133,4.65,0.9894,4.2796,0.6175,0.6188,-0.0085,0.4849,0.2378,0.2693,113.7,111,102.7,110
366,"Indiv366",16452.17391,19582.6087,140,4.65,0.9894,4.2866,0.6179,0.6211,-0.0105,0.4903,0.2066,0.278,160,145,128.2,137.7
367,"Indiv367",16452.17391,18539.13043,143,4.65,0.9894,4.2874,0.6197,0.6259,-0.0154,0.4666,0.2309,0.2251,148.2,138.9,127.2,138.1
368,"Indiv368",16452.17391,17495.65217,153,4.65,0.9894,4.2665,0.6194,0.6235,-0.0125,0.4859,0.2195,0.2294,157.4,150.9,143.5,159.2
369,"Indiv369",16452.17391,16452.17391,169,4.7,1,4.2593,0.6199,0.6278,-0.0179,0.4238,0.2413,0.2261,182.9,197.2,208.7,225
370,"Indiv370",16452.17391,15408.69565,158,4.7,1,4.2558,0.6205,0.6272,-0.016,0.4382,0.2185,0.2306,193.8,218,215.3,245.4
371,"Indiv371",16452.17391,14365.21739,134,4.65,0.9894,4.2287,0.6192,0.6216,-0.0101,0.4026,0.1718,0.2568,154.4,173.5,182.6,218.7
372,"Indiv372",16452.17391,13321.73913,131,4.7,1,4.2383,0.619,0.6252,-0.015,0.4241,0.1719,0.2478,158.5,170,210.4,255.1
373,"Indiv373",16452.17391,12278.26087,145,4.7,1,4.2222,0.6192,0.6241,-0.0126,0.4211,0.1916,0.2295,152.2,149.7,181,217.7
374,"Indiv374",16452.17391,11234.78261,108,4.7,1,4.1952,0.6152,0.6213,-0.0132,0.5099,0.3016,0.2506,159.8,162.8,185.2,239.9
375,"Indiv375",16452.17391,10191.30435,52,4.4,0.9362,4.2056,0.6032,0.6029,-3e-04,0.465,0.2009,0.2852,124.9,184.4,175.8,185.2
376,"Indiv376",16452.17391,9147.826087,39,4.45,0.9468,4.2129,0.6096,0.6077,0.0045,0.5156,0.1819,0.3056,669.1,607.2,1025.7,523.2
377,"Indiv377",16452.17391,8104.347826,54,4.5,0.9574,4.211,0.6093,0.6092,-0.0037,0.4955,0.1615,0.3512,160,144,177.3,189.1
378,"Indiv378",16452.17391,7060.869565,51,4.6,0.9787,4.244,0.6134,0.6128,-0.0025,0.5085,0.2105,0.3612,127.6,133.7,153.7,149.1
379,"Indiv379",16452.17391,6017.391304,35,4.55,0.9681,4.2602,0.6126,0.61,0.0028,0.5765,0.2186,0.3683,146.4,136.5,140.8,140
380,"Indiv380",16452.17391,4973.913043,20,4.15,0.883,4.15,0.5944,0.5825,0.034,0.5081,0.1645,0.3986,29.8,48.3,59.1,59.1
381,"Indiv381",16452.17391,3930.434783,13,,,,,,,,,,,,,
